"region","priority","course_name","course_variant","city","state","access_type","seed_status","notes"
"Prescott","1","Antelope Hills Golf Course","North Course","Prescott","AZ","public","partial","Official course page https://www.antelopehillsgolf.com/the-course/ verifies North Course par 72 6539 yards rating 69.7 slope 121 but does not publish hole handicap indexes; 2026-07-08 recheck found the current official page source and sitemap expose only summary facts plus logo/course/gallery image uploads, no PDF or scorecard image; likely Golfify slug returned 404 and prior structured card data conflicts materially with official yardage/rating data, so no verified seed row added."
"Prescott","2","Antelope Hills Golf Course","South Course","Prescott","AZ","public","partial","Official course page https://www.antelopehillsgolf.com/the-course/ verifies South Course par 72 6129 yards rating 67.8 slope 114 but does not publish hole handicap indexes; 2026-07-08 recheck found the current official page source and sitemap expose only summary facts plus logo/course/gallery image uploads, no PDF or scorecard image; likely Golfify slug returned 404 and prior structured card data conflicts materially with official tee yardage/rating data, so no verified seed row added."
"Prescott","3","Prescott Golf Club","","Dewey","AZ","public","verified","Verified from official Prescott Golf Club scorecard PDF with tee ratings slopes yardages pars and hole handicap indexes."
"Prescott","4","StoneRidge Golf Course","","Prescott Valley","AZ","public","verified","Verified from official StoneRidge scorecard images with tee ratings slopes yardages pars and hole handicap indexes."
"Prescott","5","Quailwood Greens Golf Course","","Dewey","AZ","public","verified","Verified from official Quailwood Greens scorecard image with tee ratings slopes yardages pars and hole handicap indexes."
"Prescott","6","Prescott Lakes Golf Club","","Prescott","AZ","private","verified","Verified from official Prescott Lakes scorecard images with tee ratings slopes yardages pars and hole handicap indexes."
"Prescott","7","Capital Canyon Club","","Prescott","AZ","private","verified","Verified from official Capital Canyon Club 2022 scorecard PDF/image with tee ratings slopes yardages pars and hole handicap indexes."
"Prescott","8","Talking Rock Golf Club","","Prescott","AZ","private","verified","Verified from Golfify structured scorecard with tee ratings/slopes, yardages, pars, and stroke indexes; Heritage selected at 6095 yards."
"Sedona","1","Sedona Golf Resort","","Sedona","AZ","public","verified","Verified from readable Sedona Golf Resort scorecard image with tee ratings slopes yardages pars and hole handicap indexes."
"Sedona","2","Oakcreek Country Club","","Sedona","AZ","public","verified","Verified from official Oakcreek Country Club scorecard image and typed course ratings table."
"Sedona","3","Seven Canyons Golf Club","","Sedona","AZ","private","verified","Verified from official Seven Canyons scorecard PDF with tee ratings slopes yardages pars and hole handicap indexes."
"Sedona","4","Canyon Mesa Country Club","","Sedona","AZ","semi-private","unavailable","Official scorecard page and Golfify both show only a 9-hole par-28 layout; Golfify has hole indexes but no tee rating/slope, so not eligible for an 18-hole seed row."
"Sedona","5","Poco Diablo Resort Golf Course","","Sedona","AZ","resort","unavailable","GolfLink scorecard verifies this is a 9-hole par-27 777-yard course with 0.0/0 rating/slope; not eligible for an 18-hole seed row."
"Sedona","6","Verde Santa Fe Golf Club","","Cornville","AZ","public","unavailable","Legacy/renamed target; current public course at 645 S Verde Santa Fe Parkway publishes official scorecard as Agave Highlands Golf Course."
"Sedona","7","Agave Highlands Golf Course","","Cornville","AZ","public","verified","Verified from official Agave Highlands course page and scorecard image with tee ratings slopes yardages pars and hole handicap indexes."
"Flagstaff","1","Continental Country Club","","Flagstaff","AZ","semi-private","verified","Verified from Golfify structured scorecard with tee ratings/slopes, yardages, pars, and stroke indexes; White selected at 6014 yards. Prior GolfLink/All Square sources conflict on par/yardage, so only the internally complete Golfify White tee was seeded."
"Flagstaff","2","Aspen Valley Golf Club","","Flagstaff","AZ","private","verified","Verified from official Aspen Valley 2026 scorecard PDF with tee ratings/slopes, total yardages, pars, and hole handicap indexes."
"Flagstaff","3","Pine Canyon Club","","Flagstaff","AZ","private","verified","Verified from Golfify structured scorecard with tee ratings/slopes, yardages, pars, and stroke indexes; Copper selected at 6352 yards."
"Flagstaff","4","Forest Highlands Golf Club","Canyon Course","Flagstaff","AZ","private","verified","Verified from official Forest Highlands Canyon scorecard PDF with tee ratings slopes yardages pars and hole handicap indexes."
"Flagstaff","5","Forest Highlands Golf Club","Meadow Course","Flagstaff","AZ","private","verified","Verified from official Forest Highlands Meadow scorecard PDF with tee ratings slopes yardages pars and hole handicap indexes."
"Flagstaff","6","Flagstaff Ranch Golf Club","","Flagstaff","AZ","private","verified","Verified from official Flagstaff Ranch scorecard PDF with tee ratings slopes yardages pars and hole handicap indexes."
"Flagstaff","7","Coconino Country Club","","Flagstaff","AZ","private","unavailable","Private club; 2026-07-08 recheck found no public official or reputable scorecard with tee ratings/slopes and hole handicap indexes; direct site candidate www.coconinocountryclub.com did not resolve and direct Golfify slug returned 404."
"Flagstaff","8","Elephant Rocks Golf Course","","Williams","AZ","public","verified","Verified from official Elephant Rocks scorecard image with tee ratings slopes yardages pars and hole handicap indexes."
"Flagstaff","9","Pinewood Country Club","","Munds Park","AZ","private","verified","Verified from official Pinewood Country Club Course Info page with tee ratings slopes yardages pars and hole handicap indexes."
"Payson","1","Payson Golf Club","","Payson","AZ","public","verified","Verified from Golfify structured scorecard matching official 5894-yard course description with tee ratings/slopes, yardages, pars, and stroke indexes; White selected."
"Payson","2","The Rim Golf Club","","Payson","AZ","private","verified","Verified from Golfify structured scorecard with tee ratings/slopes, yardages, pars, and stroke indexes; Member selected at 6179 yards."
"Payson","3","Chaparral Pines Golf Club","","Payson","AZ","private","verified","Verified from Golfify structured scorecard with tee ratings/slopes, yardages, pars, and stroke indexes; Gold selected at 5906 yards."
"Payson","4","Pine Meadows Country Club","","Overgaard","AZ","public","unavailable","2026-07-08 recheck found no public official or reputable scorecard with 18-hole tee ratings/slopes and hole handicap indexes; likely official site candidate www.pinemeadowscountryclub.com did not resolve and direct Golfify slug returned 404."
